GiftId,Latitude,Longitude,Weight
22232,79.8146450375,-63.823844952,11.461092326
82841,79.6869589544,-63.7204021936,36.6622350252
40356,79.302287201,-63.3160440981,13.9452181122
64700,79.2367042783,-62.8763547974,1
48915,79.156290623,-64.1451882965,8.36422540205
20351,79.2162157767,-64.2466605481,6.85264973852
30303,78.848735486,-65.1942676875,8.24924797061
97646,78.6165277558,-67.0219956916,1
48218,78.7566941946,-67.4822263311,1
86802,78.8364221305,-68.2761446564,32.2291764471
81257,78.773644445,-68.6695492955,27.9492209328
40712,78.9446224812,-68.223484079,1
15083,79.0686478641,-67.787434491,5.59214928451
93905,78.6584832643,-70.2498437828,19.3102874021
12797,78.528331419,-69.8324589841,42.7176806782
25002,78.3205933148,-70.5853992346,1
45082,78.1655529279,-70.7460216108,1
83059,78.0298277712,-70.7912154779,1
75349,78.159343474,-69.8829476058,36.6891851042
87479,78.0585674882,-68.4013159193,21.9505260432
70734,77.8442177921,-68.9259760641,3.46858432897
12278,77.7411136358,-68.7452154441,1
7937,77.6986845029,-68.7756804975,1
88058,77.7994080754,-69.6698944114,1
91154,78.0403675166,-66.874068485,9.92968900964
76880,78.0448593857,-66.8399386242,38.818615432
59275,78.0608928241,-66.3938375329,7.20587281118
37017,78.1786336845,-65.7049838329,4.73228229927
17658,78.3482568825,-65.5171209303,1
15675,77.9800164012,-65.3048581711,1
11048,77.8955254231,-65.7804644619,20.2766850108
98648,77.7970735552,-64.9915344116,1
1982,77.5541189051,-65.5457085712,10.1894105855
59482,77.5061774332,-65.4034872141,1
23838,77.5267321851,-65.1695531893,43.7949387201
3204,77.366325005,-66.3966258839,1
1936,77.215399443,-65.4523636234,2.89077555019
84800,77.0270556098,-65.1671748949,1
70496,76.8208055712,-65.7557089816,36.9926625844
32948,76.7291743594,-65.9852541331,22.1979939697
55636,76.6174715812,-65.8054344811,23.8196312938
49672,76.569841359,-65.308803991,16.3390654658
43249,76.5023296155,-65.3726699889,1
43291,76.3700473318,-65.2834600275,30.2074249428
14267,76.3517602248,-66.0804571049,1
23781,76.2610752219,-66.617961763,1
11097,76.2798238736,-66.8602255477,1
6148,76.2019124719,-67.2720281402,30.994562602
22449,76.1354981354,-67.4500486986,8.15742943215
10211,76.1790623671,-65.4697777787,27.0064509208
24689,76.1451484043,-64.0163734433,1
49531,76.2818192241,-63.7094517427,18.382392206
12604,76.4774271454,-62.8102921616,40.3403272871
29791,76.535948029,-62.6586263827,1
11772,76.6154750209,-61.0197986437,7.13225714936
26198,76.8563107432,-61.1194976564,5.03533298276
6540,76.884597613,-60.0905765993,18.7131612575
48282,76.7827279504,-59.7547100775,1
28828,77.2838825293,-59.959409512,35.0009135626
71896,77.4696797224,-59.9809390403,20.3575520839
58600,77.394153993,-60.7174445915,17.7593214868
7021,77.6129552288,-61.1247427424,50
7126,77.4373895221,-62.3741587223,16.7025136104
8857,77.1671398308,-62.4845118822,1.32204369439
88128,77.1775648987,-62.7570410874,18.5232068685
78439,76.7714577203,-64.3271872327,1
15229,76.6324629048,-66.4387436992,1
8794,76.663298225,-67.3029560348,1
29963,76.7869874941,-68.2963234905,1
64347,76.9154078824,-69.4260388741,1
9031,76.7798992494,-69.7256376101,14.8409298875
644,77.1785822621,-68.9027860824,5.19118473333
79654,77.2352795001,-68.0578433304,31.7876160384
23909,77.8223465777,-63.081538855,42.8402263412
14918,77.9461536171,-62.4917234532,14.7927289894
