GiftId,Latitude,Longitude,Weight
53113,-35.1749032257,173.190630438,1
64537,-35.36784404,173.705777513,32.541489385
25296,-35.3948958724,173.820698687,8.90281497434
45964,-35.6576087692,174.074576283,1
48106,-35.7094921226,174.069742797,4.2327245141
98854,-35.8402380088,173.831396215,27.1904375718
96416,-36.2787473707,174.129902453,24.7479231637
30857,-36.1646996981,174.315648163,25.3081840305
15025,-35.9632103753,174.443444427,1
97892,-35.4675274321,174.361565554,1
42838,-35.393005664,174.345535359,37.6342808065
5091,-36.4581316352,174.679026095,2.99638007049
85273,-36.5554614586,174.268782271,16.1262533005
78303,-37.1952102466,174.992218507,1.67636586479
43865,-37.2798585086,174.884862203,13.6451911803
9749,-37.0122650249,175.557664456,1
96879,-36.9926713564,175.724811986,1
93561,-37.3588158918,175.888451514,14.4295465809
62670,-37.6030595363,175.765430649,8.1231529157
46095,-37.8750454986,175.539399167,5.29433866991
99315,-37.9552232245,175.375920411,43.7923086441
92866,-38.1134745382,175.142656739,23.2199551673
45139,-38.0589711793,175.024362079,4.26572627762
44183,-38.209904326,175.453283142,1
3215,-38.2729317439,175.795952381,10.9093673547
66464,-38.2472378381,176.066951808,15.1571145902
7903,-37.9707274949,176.350908422,1
54698,-38.1321355301,176.508778336,8.40616515733
32923,-38.1035237642,176.68428311,50
58301,-38.4328967584,177.268770483,7.05729857363
61992,-38.4976298771,177.249713393,15.5124753989
7416,-38.6016056009,177.476201402,20.3223563971
26985,-38.890222916,177.401796781,7.62721577901
11356,-38.8995292419,177.449261016,15.3896120096
97748,-38.8989416973,177.244543417,15.6637248077
2538,-38.9336214918,176.846071772,17.8430840893
47743,-38.9815240685,176.757816164,1
77400,-38.9226943702,176.27360255,23.5309755716
18292,-39.0375313652,176.092622638,1
34497,-39.0029233783,175.847693905,28.1548097858
72411,-38.8526346674,175.726015009,9.28706871637
82946,-38.6980428176,175.583900162,1
24326,-38.862206578,175.475375927,19.9221627929
50724,-38.8694824068,175.45801068,12.0000457781
86822,-38.7799498471,175.246432353,33.95125367
52698,-38.8079314878,175.159404116,8.63713906007
15897,-38.8955930746,175.153436175,1
99506,-39.2038258018,175.070025158,49.972677129
20552,-39.5229583426,175.330612209,6.41397550429
44730,-39.7042267971,174.961629127,1
89259,-39.6499172405,174.677745161,35.8664894603
58952,-39.1977859016,174.330106557,2.24324160574
19194,-38.8953757634,174.57299449,1
73793,-39.2786614201,176.033163829,11.5050234345
5888,-39.4582702618,176.268477271,21.2709248585
77413,-39.8969919218,176.176309068,3.96004910953
36735,-40.2828381001,175.625166112,1
57481,-40.443283124,175.699547096,25.720845923
83037,-40.8871555954,175.805677834,44.0982959897
86480,-40.9961506915,175.990900011,45.009952025
29419,-41.1682284402,175.79942293,6.40335306107
54950,-40.8602066152,175.11965658,50
31556,-40.9222756916,174.983660943,1
42378,-40.748345166,175.191308191,19.1634763613
22090,-40.6701113511,176.281790241,21.0220174735
80299,-41.7132934932,174.168517278,1
