GiftId,Latitude,Longitude,Weight
96904,-40.1215376328,-70.7633858575,17.143428288
95509,-40.3155211276,-70.9834804618,14.6813695779
18179,-40.4762406392,-70.6992080235,38.8734248425
10950,-40.7200310747,-70.9017374045,2.83312243538
82295,-40.7553823489,-71.2073322008,14.7643307282
78378,-40.8369814702,-70.4905435326,16.341964233
1591,-42.4839926262,-70.8583272277,3.75636631734
95613,-42.5791500786,-70.9637433555,50
64633,-42.8875801508,-70.9824190646,25.7723340777
6433,-43.0686831763,-71.0950650883,7.98527805159
38669,-43.5156118089,-70.3655299133,1
3923,-43.6002475763,-70.4442940602,13.3657143145
36844,-43.7071771372,-70.2379216547,1.95862472117
15864,-43.7926796581,-70.3380954246,32.9515353116
59006,-44.3516453235,-70.9621719613,29.3870015911
69578,-44.2992473838,-71.1358125453,20.7807698538
75680,-44.3188543068,-71.3241018891,1
47761,-44.3183375607,-71.4468924893,1
11941,-44.2337600197,-71.3949874297,1
67183,-43.930802165,-71.5519242884,1
68422,-44.5278984255,-70.4734529478,26.9171091162
59806,-44.7941017188,-70.8637862343,18.4354141203
76482,-45.3531425981,-70.9392712755,30.472871708
35060,-45.3848203939,-71.0291835858,37.063607348
65026,-45.5603152469,-70.549479905,7.1868863018
91298,-45.5489967346,-70.214367848,42.0597662344
27952,-45.3972359313,-70.300162967,1
21560,-45.2950190704,-69.9352600806,12.6647392157
4146,-45.1504884473,-69.9792371676,4.16380323232
7616,-45.0426375571,-69.8621886123,1
60867,-44.9811736211,-69.7649524934,38.0381056696
43836,-44.8777326835,-70.0699731498,40.0451656687
85128,-45.4340505514,-69.2510236708,36.5652241844
38100,-45.4829545302,-68.9872603711,22.1534830329
43175,-45.5282172866,-68.8966362293,35.4057119324
93273,-45.78435972,-69.1641869553,1
16192,-45.9924363537,-69.5370149042,6.67031297951
23884,-45.8415813597,-69.8913189576,1
22230,-45.73246722,-70.1249978371,8.56090187982
55790,-46.0365699836,-69.9793905377,5.09465760828
53941,-46.014447287,-70.4673886628,1
98482,-46.4399754611,-69.9045548095,50
28136,-46.5973018228,-69.9964870989,1
10150,-46.8638585423,-69.8041384572,15.076904948
25790,-47.0750402891,-69.638876702,18.54198307
61700,-47.3291667636,-69.3082814554,1
7611,-47.1659390725,-68.5745043186,1.30418863953
47599,-47.1377200529,-68.407395281,24.0888087962
3545,-47.013330927,-68.5078715006,17.1717863482
32875,-47.0486725017,-68.5738982061,29.6822878777
45080,-47.3378792042,-68.1087955452,1
31922,-47.3721315018,-67.8431264336,1
25215,-47.7396740243,-67.8529643007,3.49957611407
28197,-47.8259968415,-67.6789299474,16.2050762849
22134,-47.8671299953,-67.2861817311,1
72651,-48.0608775816,-67.4890800103,5.93242366713
52350,-48.3407063505,-67.3817171842,1
91446,-48.7427940988,-67.4977251822,24.3984372481
45202,-48.8670803407,-68.068970591,1
90635,-48.7554972423,-68.1271613058,11.7895510918
59846,-48.6623676743,-68.3285917718,5.47756693698
10663,-48.8654131283,-68.5021217603,1
10440,-49.121125414,-69.167116725,19.3805580203
42493,-49.1901922966,-69.225458859,19.0137906526
1212,-49.2052324845,-69.5436080666,20.7547259513
8406,-49.1495630286,-69.559942626,19.5440463291
26316,-49.0960275136,-69.6409024062,10.8213726856
